代数, 变异数, 最优个体时间
842,7,68089.0
843,1,68089.0
844,2,68089.0
845,1,68089.0
846,4,68089.0
847,3,68089.0
848,5,68089.0
849,5,68089.0
850,6,68089.0
851,5,68089.0
852,8,68089.0
853,3,68089.0
854,4,67985.0
855,4,67985.0
856,3,67985.0
857,4,67985.0
858,2,67985.0
859,4,67985.0
860,3,67985.0
861,5,67985.0
862,4,67985.0
863,4,67985.0
864,2,67985.0
865,8,67985.0
866,3,67985.0
867,6,67985.0
868,5,67985.0
869,1,67985.0
870,3,67985.0
871,5,67985.0
872,2,67985.0
873,4,67985.0
874,2,67985.0
875,7,67985.0
876,4,67985.0
877,6,67985.0
878,7,67985.0
879,7,67985.0
880,5,67985.0
881,4,67985.0
882,8,67985.0
883,6,67985.0
884,4,67985.0
885,3,67985.0
886,1,67985.0
887,4,67985.0
888,1,67985.0
889,3,67985.0
890,7,67985.0
891,6,67985.0
892,5,67985.0
893,7,67985.0
894,5,67985.0
895,6,67985.0
896,4,67985.0
897,5,67985.0
898,3,67985.0
899,3,67985.0
900,5,67985.0
901,1,67985.0
902,6,67985.0
903,6,67985.0
904,4,67985.0
905,2,67985.0
906,4,67985.0
907,4,67985.0
908,1,67985.0
909,5,67985.0
910,6,67985.0
911,5,67985.0
912,4,67985.0
913,2,67985.0
914,3,67985.0
915,6,67985.0
916,1,67985.0
917,1,67985.0
918,6,67985.0
919,2,67985.0
920,4,67985.0
921,3,67985.0
922,6,67985.0
923,6,67985.0
924,7,67985.0
925,4,67985.0
926,4,67985.0
927,1,67985.0
928,3,67985.0
929,7,67985.0
930,4,67985.0
931,6,67985.0
932,2,67985.0
933,5,67985.0
934,6,67985.0
935,5,67985.0
936,6,67985.0
937,1,67985.0
938,5,67985.0
939,6,67985.0
940,5,67985.0
941,5,67985.0
942,5,67985.0
943,1,67985.0
944,4,67985.0
945,4,67985.0
946,5,67985.0
947,5,67985.0
948,3,67985.0
949,2,67985.0
950,4,67985.0
951,2,67985.0
952,2,67985.0
953,5,67985.0
954,4,67985.0
955,3,67985.0
956,5,67985.0
957,5,67985.0
958,5,67985.0
959,5,67985.0
960,7,67985.0
